#l b boxsize ext_law ejk ak error_ejk
4.7980 2.3370 2 2 0.5225 0.2760 0.1146
4.7980 2.2860 2 2 0.5380 0.2840 0.1236
4.7980 2.2360 2 2 0.4975 0.2630 0.1138
4.7980 2.1860 2 2 0.4982 0.2630 0.1090
4.7980 2.1360 2 2 0.5152 0.2718 0.1014
4.7980 2.0850 2 2 0.5443 0.2873 0.1058
4.7980 2.0350 2 2 0.5475 0.2892 0.1095
4.7980 1.9850 2 2 0.5700 0.3013 0.1136
4.7980 1.9350 2 2 0.6072 0.3207 0.1138
4.7980 1.8840 2 2 0.5885 0.3105 0.1153
4.7980 1.8340 2 2 0.6100 0.3220 0.1120
4.7980 1.7840 2 2 0.6240 0.3295 0.1089
4.7980 1.7340 2 2 0.6755 0.3565 0.1106
4.7980 1.6830 2 2 0.7390 0.3902 0.1057
4.7980 1.6330 2 2 0.7800 0.4118 0.1142
4.7980 1.5830 2 2 0.7918 0.4177 0.1211
4.7980 1.5330 2 2 0.7805 0.4123 0.1226
4.7980 1.4820 2 2 0.8000 0.4225 0.1163
